seed,d,op_set,n_ops,eff_ops,noise,truth,selection,mse_test,nmse_test,recovered,model,complexity,cv_score,time_s
20290726,1,full,4,7,0.0,(sqrt(2.69) * sqrt((x0 + x0))),extrap-CV,4.717757991770973e-30,2.644110862508357e-29,True,2.32*sqrt(x0),1,-27.631021115928547,0.009800910949707031
20290726,1,full,4,7,0.0,(sqrt(2.69) * sqrt((x0 + x0))),interior-CV,4.717757991770973e-30,2.644110862508357e-29,True,2.32*sqrt(x0),1,-27.631021115928547,0.009800910949707031
20290726,1,full,4,7,0.0,(sqrt(2.69) * sqrt((x0 + x0))),train-MSE,4.717757991770973e-30,2.644110862508357e-29,True,2.32*sqrt(x0),1,,0.009800910949707031
20290727,1,full,4,5,0.0,sqrt((0.82 * ((x0 * -0.53) * x0))),extrap-CV,2.195560136601449e-31,7.036261328188162e-31,True,0.659*sqrt((x0)^2),2,-27.631021115928547,0.0911259651184082
20290727,1,full,4,5,0.0,sqrt((0.82 * ((x0 * -0.53) * x0))),interior-CV,2.195560136601449e-31,7.036261328188162e-31,True,0.659*sqrt((x0)^2),2,-27.631021115928547,0.0911259651184082
20290727,1,full,4,5,0.0,sqrt((0.82 * ((x0 * -0.53) * x0))),train-MSE,2.195560136601449e-31,7.036261328188162e-31,True,0.659*sqrt((x0)^2),2,,0.0911259651184082
20290728,1,full,4,6,0.0,(sqrt(((x0 - 0.33) + x0)) * x0),extrap-CV,1.164094304443448e-25,2.0519775753399504e-28,True,-1.41*((sin(x0) * -1.77e-13) - (sqrt((0.165 - x0)) * x0)),6,-27.631021115928316,172.12521123886108
20290728,1,full,4,6,0.0,(sqrt(((x0 - 0.33) + x0)) * x0),interior-CV,1.164094304443448e-25,2.0519775753399504e-28,True,-1.41*((sin(x0) * -1.77e-13) - (sqrt((0.165 - x0)) * x0)),6,-27.631021115928508,172.12521123886108
20290728,1,full,4,6,0.0,(sqrt(((x0 - 0.33) + x0)) * x0),train-MSE,1.164094304443448e-25,2.0519775753399504e-28,True,-1.41*((sin(x0) * -1.77e-13) - (sqrt((0.165 - x0)) * x0)),6,,172.12521123886108
20290729,1,full,4,4,0.0,(cos((sin(x0) * x0)))^2,extrap-CV,2.2781979192761474e-32,1.6045740755826552e-31,True,-1*(sin((sin(x0) * x0)))^2 + 1,4,-27.631021115928547,12.215126037597656
20290729,1,full,4,4,0.0,(cos((sin(x0) * x0)))^2,interior-CV,2.2781979192761474e-32,1.6045740755826552e-31,True,-1*(sin((sin(x0) * x0)))^2 + 1,4,-27.631021115928547,12.215126037597656
20290729,1,full,4,4,0.0,(cos((sin(x0) * x0)))^2,train-MSE,2.2781979192761474e-32,1.6045740755826552e-31,True,-1*(sin((sin(x0) * x0)))^2 + 1,4,,12.215126037597656
20290730,1,full,4,4,0.0,(cos((x0 - (x0 * x0))) + x0),extrap-CV,2.6716500188539736e-30,6.299109931406174e-32,True,1*cos((x0 - (x0)^2)) + 1*x0,4,-27.631021115928547,0.710101842880249
20290730,1,full,4,4,0.0,(cos((x0 - (x0 * x0))) + x0),interior-CV,2.6716500188539736e-30,6.299109931406174e-32,True,1*cos((x0 - (x0)^2)) + 1*x0,4,-27.631021115928547,0.710101842880249
20290730,1,full,4,4,0.0,(cos((x0 - (x0 * x0))) + x0),train-MSE,2.6716500188539736e-30,6.299109931406174e-32,True,1*cos((x0 - (x0)^2)) + 1*x0,4,,0.710101842880249
20290731,1,full,4,5,0.0,sqrt((((x0 * x0) - 2.69) / x0)),extrap-CV,2.7051409975666383e-12,7.232362499317438e-11,True,1*sqrt(((sqrt((cos((x0 * -0.0483)) + 6.24)) / x0) - x0)),7,-27.46284549138791,536.5654938220978
20290731,1,full,4,5,0.0,sqrt((((x0 * x0) - 2.69) / x0)),interior-CV,2.7051409975666383e-12,7.232362499317438e-11,True,1*sqrt(((sqrt((cos((x0 * -0.0483)) + 6.24)) / x0) - x0)),7,-27.580311788565172,536.5654938220978
20290731,1,full,4,5,0.0,sqrt((((x0 * x0) - 2.69) / x0)),train-MSE,2.7051409975666383e-12,7.232362499317438e-11,True,1*sqrt(((sqrt((cos((x0 * -0.0483)) + 6.24)) / x0) - x0)),7,,536.5654938220978
20290732,1,full,4,3,0.0,cos((exp((x0 / x0)) - x0)),extrap-CV,2.7647956269758432e-31,1.6159675971322907e-30,True,-1*sin((2.99 - ((x0 - (x0)^2) / x0))),5,-27.631021115928547,29.979792833328247
20290732,1,full,4,3,0.0,cos((exp((x0 / x0)) - x0)),interior-CV,2.7647956269758432e-31,1.6159675971322907e-30,True,-1*sin((2.99 - ((x0 - (x0)^2) / x0))),5,-27.631021115928547,29.979792833328247
20290732,1,full,4,3,0.0,cos((exp((x0 / x0)) - x0)),train-MSE,2.7647956269758432e-31,1.6159675971322907e-30,True,-1*sin((2.99 - ((x0 - (x0)^2) / x0))),5,,29.979792833328247
20290733,1,full,4,2,0.0,(((x0 / x0) / x0) - (x0 / x0)),extrap-CV,3.224006726904233e-31,1.3013396783179672e-29,True,1*(x0 / (x0)^2) + -1,2,-27.631021115928547,0.09324169158935547
20290733,1,full,4,2,0.0,(((x0 / x0) / x0) - (x0 / x0)),interior-CV,3.224006726904233e-31,1.3013396783179672e-29,True,1*(x0 / (x0)^2) + -1,2,-27.631021115928547,0.09324169158935547
20290733,1,full,4,2,0.0,(((x0 / x0) / x0) - (x0 / x0)),train-MSE,3.224006726904233e-31,1.3013396783179672e-29,True,1*(x0 / (x0)^2) + -1,2,,0.09324169158935547
20290734,1,full,4,3,0.0,sqrt(sqrt((x0 * sqrt(x0)))),extrap-CV,6.297790918146261e-31,6.819209994836868e-29,True,1*sqrt(sqrt((sqrt(x0) * x0))),4,-27.631021115928547,8.1960768699646
20290734,1,full,4,3,0.0,sqrt(sqrt((x0 * sqrt(x0)))),interior-CV,6.297790918146261e-31,6.819209994836868e-29,True,1*sqrt(sqrt((sqrt(x0) * x0))),4,-27.631021115928547,8.1960768699646
20290734,1,full,4,3,0.0,sqrt(sqrt((x0 * sqrt(x0)))),train-MSE,6.297790918146261e-31,6.819209994836868e-29,True,1*sqrt(sqrt((sqrt(x0) * x0))),4,,8.1960768699646
20290735,1,full,4,3,0.0,(sin(-2.58) / (x0 - (x0 / x0))),extrap-CV,4.0746779462779225e-30,5.506750589329066e-28,True,0.533*(x0 / (x0 - (x0)^2)),3,-27.631021115928547,0.5507850646972656
20290735,1,full,4,3,0.0,(sin(-2.58) / (x0 - (x0 / x0))),interior-CV,4.0746779462779225e-30,5.506750589329066e-28,True,0.533*(x0 / (x0 - (x0)^2)),3,-27.6310211159284,0.5507850646972656
20290735,1,full,4,3,0.0,(sin(-2.58) / (x0 - (x0 / x0))),train-MSE,4.0746779462779225e-30,5.506750589329066e-28,True,0.533*(x0 / (x0 - (x0)^2)),3,,0.5507850646972656
20290736,1,full,4,2,0.0,(sin(x0) - ((1.57 - x0) + x0)),extrap-CV,1.6042996436745675e-31,3.4911468564971936e-31,True,1*sin(x0) + -1.57,1,-27.631021115928547,0.042402029037475586
20290736,1,full,4,2,0.0,(sin(x0) - ((1.57 - x0) + x0)),interior-CV,1.6042996436745675e-31,3.4911468564971936e-31,True,1*sin(x0) + -1.57,1,-27.631021115928547,0.042402029037475586
20290736,1,full,4,2,0.0,(sin(x0) - ((1.57 - x0) + x0)),train-MSE,1.6042996436745675e-31,3.4911468564971936e-31,True,1*sin(x0) + -1.57,1,,0.042402029037475586
20290737,1,full,4,5,0.0,((sin(x0) - (x0 + 1.47)) * x0),extrap-CV,1.222685099285992e-27,8.97906049564485e-30,True,1*(sin(x0) * x0) + -1.47*x0 + -1*x0^2,4,-27.631021115928547,0.5038261413574219
20290737,1,full,4,5,0.0,((sin(x0) - (x0 + 1.47)) * x0),interior-CV,1.222685099285992e-27,8.97906049564485e-30,True,1*(sin(x0) * x0) + -1.47*x0 + -1*x0^2,4,-27.631021115928547,0.5038261413574219
20290737,1,full,4,5,0.0,((sin(x0) - (x0 + 1.47)) * x0),train-MSE,1.222685099285992e-27,8.97906049564485e-30,True,1*(sin(x0) * x0) + -1.47*x0 + -1*x0^2,4,,0.5038261413574219
20290738,1,full,4,4,0.0,((x0 + x0) - cos(sin(x0))),extrap-CV,9.614242282381081e-30,5.628371808291529e-32,True,-1*cos(sin(x0)) + 2*x0,3,-27.631021115928547,0.10174298286437988
20290738,1,full,4,4,0.0,((x0 + x0) - cos(sin(x0))),interior-CV,9.614242282381081e-30,5.628371808291529e-32,True,-1*cos(sin(x0)) + 2*x0,3,-27.631021115928547,0.10174298286437988
20290738,1,full,4,4,0.0,((x0 + x0) - cos(sin(x0))),train-MSE,9.614242282381081e-30,5.628371808291529e-32,True,-1*cos(sin(x0)) + 2*x0,3,,0.10174298286437988
